Area name,Area budget,,,,,,,,,
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/29091,60,"64.129865, -21.741505",,Stígur sunnan við Úlfarsá,"Verkefnið felur í sér að gera malbikaðan stíg meðfram Reynisvatnsvegi, sunnan við Úlfarsá. ",Path on south side of Úlfarsá,"The project entails making a paved path along Reynisvatnsvegur, on the south side of Úlfarsá.",Ścieżka na południe od Úlfarsá,"Projekt obejmuje wykonanie asfaltowej ścieżki wzdłuż Reynisvatnsvegur, na południe od Úlfarsá. "
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44587,11,,,Strandblakvöllur,Verkefnið felur í sér að setja upp strandblakvöll á völdum stað í hverfinu,Beach volleyball court,The project entails setting up a beach volleyball court at a select location in the neighbourhood.,Boisko do siatkówki plażowej,Projekt zakłada utworzenie boiska do siatkówki plażowej w wybranym miejscu w okolicy.
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44644,11,,,Leikvöllur fyrir vel fullorðið fólk,Verkefnið felur í sér að setja upp svæði með hreystitækjum fyrir eldri borgara á góðum stað í hverfinu.,Playground for elderly people,The project entails setting up an area with exercise equipment for senior citizens in a good neighbourhood location.,Plac zabaw dla dorosłych,Projekt zakłada stworzenie strefy ze sprzętem fitness dla seniorów w dobrej lokalizacji w sąsiedztwie.
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44637,13,,,Setja upp listaverk í hverfinu,Verkefnið felur í sér að setja upp listaverk í hverfinu sem er bæði augnayndi og með leikígildi. ,Put up artwork in the neighbourhood,The project entails setting up an artwork in the neighbourhood that is both visually pleasing and can be used for play.,Umieszczenie prac artystycznych w plenerze,"Projekt polega na ustawieniu prac artystycznych, które będą zarówno przyciągały wzrok, jak i służyły do rozrywki. "
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44584,60,"64.141199, -21.725350",,Stígur við rætur Úlfarsfells,Verkefnið felur í sér að gera göngustíg úr gamla línuveginum á Úlfarsfelli.   ,Path at the base of Úlfarsfell,The project entails making a walking path out of the old línuvegur road on Úlfarsfell.,Ścieżka u podnóża Úlfarsfell,Projekt zakłada utworzenie ścieżki ze starej drogi na Úlfarsfell.   
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44634,7,"64.142821, -21.725387",,Fleiri bekki og áningarstaði á Úlfarsfell,Verkefnið felur í sér að gera fleiri áningarstaði með bekki við gönguleiðir á Úlfarsfell. ,More benches and rest areas on Úlfarsfell,The project entails making more rest areas with benches along the hiking trails on Úlfarsfell.,Więcej ławek i miejsc do odpoczynku przy Úlfarsfell,Projekt zakłada utworzenie większej liczby miejsc odpoczynku z ławkami wzdłuż szlaków turystycznych w Úlfarsfell. 
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44622,7,"64.125424, -21.758062",,Körfuboltavöllur við Ingunnarskóla,"Verkefnið felur í sér að endurbæta körfuboltavöll við Ingunnarskóla, m.a. nýtt yfirborðsefni og körfur í tveimur hæðum.",Basketball court by Ingunnarskóli,"The project entails improving the basketball court by Ingunnarskóli, including resurfacing and baskets at two heights.",Boisko do koszykówki w Ingunnarskóli,"Projekt zakłada renowację boiska do koszykówki w Ingunnarskóli, m.in. nową murawę i dwupoziomowe kosze."
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44592,20,"64.127460, -21.773306",,Göngustígur niður Vínlandsleið,Verkefnið felur í sér að gera göngustígatengingu frá Vínlandsleið að núverandi göngustíg sem liggur frá Sóltorgi.,Walking path down Vínlandsleið,The project entails making a walking path along Vínlandsleið to Króksháls.,Utworzenie ścieżki Vínlandsleið,"Projekt zakłada przyłączenie ścieżki z Vínlandsleið do bieżącego chodnika, który biegnie od Sóltorg."
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44635,6,"64.130642, -21.743770",,Gróðursetja fleiri tré í Úlfarsárdal,Verkefnið felur í sér að gróðursetja fleiri tré í Úlfarsárdalnum. ,Plant more trees in Úlfarsárdalur,The project entails planting more trees in Úlfarsárdalur.,Zasadzenie więcej drzew w Úlfarsárdalur,Projekt zakłada i zasadzenie większej ilości drzew w Úlfarsárdalur. 
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44623,13,,,Hjólabraut,Verkefnið felur í sér að setja upp hjólabraut á völdum stað í hverfinu. ,Bike track,The project consists in setting up a bike track at a select location in the neighbourhood.,Ścieżka rowerowa,Projekt zakłada utworzenia ścieżki rowerowej w wybranym miejscu w dzielnicy. 
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44590,20,"64.135001, -21.737287",,Leiksvæði við Urðarbrunn,"Verkefnið felur í sér að búa til leiksvæði með leiktækjum, bekkjum og gróðri við Urðarbrunn. ",Playground by Urðarbrunnur,"The project entails making a play area with equipment, benches and greenery by Urðarbrunnur.",Plac zabaw przy Urðarbrunnur,"Projekt zakłada stworzenie placu zabaw z urządzeniami, ławkami i roślinnością przy Urðarbrunnur. "
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44591,3,"64.122278, -21.737928",,Rathlaupabraut milli Reynisvatns og Rauðavatns,Verkefnið felur í sér að setja upp fasta rathlaupabraut og stækka rathlaupakortið milli Reynisvatns og Rauðavatns. ,Orienteering course between Reynisvatn and Rauðavatn,The project entails making a permanent orienteering course between Reynisvatn and Rauðavatn and expanding the map.,Tor między Reynisvatn i Rauðavatn,Projekt obejmuje utworzenie toru do biegu na orientację i powiększenie mapy torów między Reynisvatn i Rauðavatn.
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44616,16,"64.126201, -21.757909","64.133004, -21.742180",Endurgera grenndarstöðvar við Ingunnarskóla og Dalskóla,"Verkefnið felur í sér að fríska upp á svæðin við grenndargámana við Ingunnarskóla og Dalskóla, m.a. með skjólvegg.",Redo waste drop-off centre by Ingunnarskóli and Dalskóli,"The project entails freshening up the waste container area by Ingunnarskóli and Dalskóli, including with a windbreak.",Renowacja placu przy Ingunnarskóli i Dalskóli,Projekt zakłada odświeżenie placu z pojemnikami na śmieci przy Ingunnarskóli i Dalskóli np. ogrodzenie terenu.
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44605,23,"64.130657, -21.742920",,Hundagerði ,Verkefnið felur í sér að setja upp hundagerði með leiktækjum fyrir ferfætlinga miðsvæðis í hverfinu. ,Dog park,The project entails setting up a dog park with play equipment for furry friends somewhere centrally in the neighbourhood.,Teren dla psów ,Projekt zakłada stworzenie terenu dla czworonogów z urządzeniami do zabaw w centrum dzielnicy. 
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44613,23,"64.122483, -21.733436",,Göngustígur fyrir ofan Reynisvatn,Verkefnið felur í sér að klára gönguslóða milli gamla skotsvæðisins fyrir ofan Reynisvatn og að hitaveituvegi.,Walking path above Reynisvatn,The project entails completing the footpath between the old shooting range by Reynisvatn and the water pipeline trail.,Ścieżka spacerowa nad jeziorkiem Reynisvatn,Projekt obejmuje ukończenie ścieżki spacerowej między starą strzelnicą nad Reynisvatn a drogą ciepłowniczą.
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44638,60,"64.131668, -21.735169",,Göngustígatenging frá dalnum upp að Úlfarsfelli,"Verkefnið felur í sér að gera göngustíg frá íþróttasvæði Fram, að Leirtjörn og tengja við gönguleiðir á Úlfarsfelli. ",Walking path link from the valley up to Úlfarsfell,The project entails making a walking path from the sports area to Leirtjörn and link to the hiking paths on Úlfarsfell.,Ścieżka z na Úlfarsfell,Projekt obejmuje utworzenie ścieżki z obszaru Fram przy Leirtjörn i połączenie go ze szlakami pieszymi na Úlfarsfell. 
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44595,11,"64.132228, -21.737344",,Útiæfingatæki í Úlfarsárdal,Verkefnið felur í sér að setja upp útiæfingatæki nálægt sundlauginni í Úlfarsárdal. ,Outdoor exercise equipment in Úlfarsárdalur,The project entails setting up outdoor exercise equipment near the pool in Úlfarsárdalur.,Siłownia pod chmurką w Úlfarsárdalur,Projekt zakłada instalację przyrządów do ćwiczeń niedaleko basenu w Úlfarsárdalur. 
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44596,26,"64.131054, -21.743639",,Útivistarparadís og gróðurvin,"Verkefnið felur í sér að útbúa útivistarparadís milli Grafarholts og Úlfarsárdals með með bekkjum, gróðri og leiksvæðum.  ",Outdoor paradise and oasis,"The project entails creating a paradise between Grafarholt and Úlfarsárdalur with benches, greenery and play areas.",Rajski park i ogród warzywny,"Projekt zakłada stworzenie parku między Grafarholt i Úlfarsárdalur z ławkami, roślinnością i placami zabaw.  "
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44602,16,"64.123796, -21.767962",,Göngustígatenging við golfskálann,Verkefnið felur í sér að tengja göngustíg sem er sunnan við Ólafsgeisla við golfskálann. ,Walking path link to the golf club,The project entails connecting the walking path on the south side of Ólafsgeisli to the golf club.,Połączenie ścieżki z pawilonem golfowym,Projekt zakłada połączenie ścieżki jaka znajduje się na południe od Ólafsgeisli z pawilonem golfowym. 
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/44608,5,,,Bæta lýsingu við æfingatæki í hverfinu,Verkefnið felur í sér að bæta lýsingu við æfingatæki sem eru staðsett við göngustíga á nokkrum stöðum í hverfinu.,Improve lighting by neighbourhood exercise equiment,The project entails improving lighting by exercise equipment on walking paths in a few locations in the neighbourhood.,Zwiększenie oświetlenia siłowni pod chmurką,Projekt zakłada zwiększenie ilości oświetlenia sprzętu do ćwiczeń znajdującego się przy ścieżkach w dzielnicy.
